date,description,category,accountFrom,price
1/1/18,Frying Pan,Miscellaneous,Spending,$ 34.34
1/1/18,Starbucks,Eating Out,Spending,$ 25.00
1/2/18,Lodging- AirBnB Tokyo,Travelling,Travel,$ 289.46
1/2/18,Lodging- AirBnB Sapporo,Travelling,Travel,$ 131.66
1/2/18,Little Lucca,Eating Out,Spending,$ 63.67
1/2/18,T4,Eating Out,Spending,$ 4.00
1/3/18,Lodging - AirBnB Sapporo,Travelling,Spending,$ 191.11
1/3/18,Health Insurance - Kaiser,Insurance,Spending,$ 20.89
1/4/18,CVS,Eating Out,Spending,$ 2.43
1/6/18,Lego - Brickheadz,Hobbies,Spending,$ 43.36
1/7/18,Costco,Eating Out,Spending,$ 5.89
1/8/18,Tonkatsu Kiyoshi,Eating Out,Spending,$ 90.50
1/8/18,Brew Tea Bar,Eating Out,Spending,$ 4.87
1/8/18,Wicken Spoon,Eating Out,Spending,$ 30.31
1/8/18,Shell,Car,Spending,$ 42.44
1/8/18,Drinks,Eating Out,Spending,$ 3.22
1/11/18,Dunkin Donuts,Eating Out,Spending,$ 3.34
1/11/18,Shake Shack,Eating Out,Spending,$ 18.59
1/12/18,Cake Tray,Miscellaneous,Spending,$ 15.18
1/12/18,Momofuku,Eating Out,Spending,$ 35.00
1/13/18,Costco,Eating Out,Spending,$ 6.96
1/13/18,Costco,Eating Out,Spending,$ 1.56
1/13/18,Car Rental - Costco,Travelling,Spending,$ 134.10
1/14/18,Protein Powder,Fitness,Spending,$ 67.63
1/15/18,Shell,Car,Spending,$ 35.30
1/15/18,Shell,Car,Spending,$ 35.66
1/20/18,Oriental BBQ,Eating Out,Spending,$ 81.00
1/22/18,Netflix,Entertainment,Spending,$ 10.99
1/22/18,Costco,Eating Out,Spending,$ 4.91
1/23/18,Poki Time,Eating Out,Spending,$ 14.08
1/25/18,Chipotle,Eating Out,Spending,$ 8.95
1/26/18,Clipper Card,Transportation,Spending,$ 22.00
1/27/18,Lucky's,Miscellaneous,Spending,$ 8.44
1/27/18,Tani's Kitchen,Eating Out,Spending,$ 38.23
1/29/18,Starbucks,Eating Out,Spending,$ 2.75
1/31/18,Starbucks,Eating Out,Spending,$ 2.65
2/1/18,Health Insurance - Kaiser,Insurance,Spending,$ 57.29
2/1/18,Airplane Ticket - Sapporo,Travelling,Travel,$ 104.95
2/2/18,Starbucks,Eating Out,Spending,$ 1.95
2/3/18,Carbon Grill,Eating Out,Spending,$ 341.38
2/5/18,Target,Miscellaneous,Spending,$ 12.52
2/5/18,Shell,Car,Spending,$ 36.18
2/5/18,Starbucks,Eating Out,Spending,$ 5.15
2/6/18,Starbucks,Eating Out,Spending,$ 25.00
2/7/18,Lucky's,Eating Out,Spending,$ 4.45
2/8/18,Chipotle,Eating Out,Spending,$ 9.00
2/9/18,100% Sweet,Eating Out,Spending,$ 6.00
2/12/18,Lucky's,Eating Out,Spending,$ 6.99
2/12/18,State Tax,Miscellaneous,Spending,$ 430.00
2/12/18,Federal Tax,Miscellaneous,Spending,$ 1965.00
2/15/18,Dick's Sporting Good,Clothes,Spending,$ 65.09
2/16/18,Hinodeya,Eating Out,Spending,$ 68.00
2/19/18,Tani's Kitchen,Eating Out,Spending,$ 29.00
2/18/18,Lucky's,Eating Out,Spending,$ 2.22
2/21/18,Netflix,Entertainment,Spending,$ 10.99
2/22/18,Perilla,Eating Out,Spending,$ 33.15
2/22/18,Easy-Breezy,Eating Out,Spending,$ 3.52
2/24/18,Yummy Yummy,Eating Out,Spending,$ 90.15
2/24/18,Shell,Car,Spending,$ 25.11
2/26/18,Grindz,Eating Out,Spending,$ 45.00
2/28/18,CVS,Eating Out,Spending,$ 2.21
3/1/18,USPS,Miscellaneous,Spending,$ 20.00
3/1/18,Dental Insurance - Dental Health,Insurance,Spending,$ 11.50
3/1/18,Health Insurance - Kaiser,Insurance,Spending,$ 57.29
3/2/18,Car Insurance - Farmers,Insurance,Spending,$ 709.58
3/14/18,Moisturizer,Miscellaneous,Spending,$ 19.87
3/16/18,In n Out,Eating Out,Spending,$ 6.96
3/18/18,DC T-shirts,Clothes,Spending,$ 39.96
3/20/18,Copy Paper,Miscellaneous,Spending,$ 26.03
3/21/18,Lucky's,Eating Out,Spending,$ 4.34
3/21/18,Netflix,Entertainment,Spending,$ 10.99
3/21/18,USPS,Miscellaneous,Spending,$ 11.75
3/21/18,My Cup Of Tea,Eating Out,Spending,$ 4.88
3/22/18,Lucky's,Eating Out,Spending,$ 3.98
3/23/18,Lucky's,Eating Out,Spending,$ 13.83
3/24/18,USPS,Miscellaneous,Spending,$ 24.75
3/26/18,Shell,Car,Spending,$ 39.10
3/26/18,Lucky's,Eating Out,Spending,$ 2.77
3/28/18,Chibog,Eating Out,Spending,$ 32.41
3/28/18,Chipotle,Eating Out,Spending,$ 8.95
3/29/18,Dental Insurance - Dental Health,Insurance,Spending,$ 23.00
3/30/18,Legos - Brickheadz,Hobbies,Spending,$ 39.02
3/30/18,Mimi's Joint,Eating Out,Spending,$ 7.00
3/31/18,Bountiful Foods,Eating Out,Spending,$ 5.00
3/31/18,Moki Sushi,Eating Out,Spending,$ 34.75
3/31/18,Tacos,Eating Out,Spending,$ 5.50
4/1/18,Vending Machine,Eating Out,Spending,$ 1.75
4/2/18,Vietnamese Sandwiches,Eating Out,Spending,$ 18.00
4/2/18,Cotton On,Clothes,Spending,$ 48.82
4/2/18,Levis,Clothes,Spending,$ 86.72
4/2/18,Super Duper,Eating Out,Spending,$ 8.95
4/3/18,Massage,Lifestyle,Spending,$ 31.00
4/3/18,Health Insurance - Kaiser,Insurance,Spending,$ 57.29
4/3/18,Samsung Galaxy S9,Shopping,Spending,$ 722.60
4/4/18,Shampoo,Lifestyle,Spending,$ 37.01
4/5/18,Clipper Card,Transportation,Spending,$ 75.00
4/6/18,Maintenance Fee,Miscellaneous,Savings,$ 5.00
4/6/18,Phone Protector,Miscellaneous,Spending,$ 20.98
4/7/18,SIM card,Miscellaneous,Spending,$ 5.43
4/8/18,Sweet Honey Dessert,Eating Out,Spending,$ 16.00
4/9/18,Chipotle,Eating Out,Spending,$ 9.39
4/10/18,Shell,Car,Spending,$ 36.83
4/12/18,Deodorant,Miscellaneous,Spending,$ 15.83
4/12/18,Split Bread,Eating Out,Spending,$ 12.36
4/13/18,Ono Hawaiin,Eating Out,Spending,$ 23.63
4/14/18,Birthday Gift,Miscellaneous,Spending,$ 100.00
4/14/18,Electric Toothbrush,Lifestyle,Spending,$ 97.64
