date,description,category,accountFrom,price
1/8/18,Interest,Interest Income,Savings,$ 0.20
1/15/18,Work,Salary,Spending,$ 5000.00
1/31/18,Work,Salary,Spending,$ 5000.00
2/5/18,Interest,Interest Income,Savings,$ 0.20
2/15/18,Work,Salary,Spending,$ 5000.00
2/28/18,Work,Salary,Spending,$ 5000.00
3/8/18,Interest,Interest Income,Savings,$ 0.20
3/15/18,Work,Salary,Spending,$ 5000.00
3/31/18,Work,Salary,Spending,$ 5000.00
4/6/18,Interest,Interest Income,Savings,$ 0.21
4/15/18,Work,Salary,Checking,$ 5000.00
4/30/18,Work,Salary,Checking,$ 5000.00
5/8/18,Interest,Interest Income,Savings,$ 0.21
5/15/18,Work,Salary,Checking,$ 5000.00
5/31/18,Work,Salary,Checking,$ 5000.00
6/7/18,Interest,Interest Income,Savings,$ 0.21
6/15/18,Work,Salary,Checking,$ 5000.00
6/30/18,Work,Salary,Checking,$ 5000.00
7/9/18,Interest,Interest Income,Savings,$ 0.21
7/15/18,Work,Salary,Checking,$ 5000.00
7/31/18,Work,Salary,Checking,$ 5000.00
8/9/18,Interest,Interest Income,Savings,$ 0.21
8/15/18,Work,Salary,Checking,$ 5000.00
8/31/18,Work,Salary,Checking,$ 5000.00
9/6/18,Interest,Interest Income,Savings,$ 0.21
9/15/18,Work,Salary,Checking,$ 5000.00
9/30/18,Work,Salary,Checking,$ 5000.00
10/10/18,Interest,Interest Income,Savings,$ 0.21
10/15/18,Work,Salary,Checking,$ 5000.00
10/31/18,Work,Salary,Checking,$ 5000.00
11/6/18,Interest,Interest Income,Savings,$ 0.21
11/15/18,Work,Salary,Checking,$ 5000.00
11/30/18,Work,Salary,Checking,$ 5000.00
12/6/18,Interest,Interest Income,Savings,$ 0.21
12/15/18,Work,Salary,Checking,$ 5000.00
